FoldoutObjectsTooltip,エクスポートの対象となるファイル／フォルダ
FoldoutReferences,参照されているときだけエクスポート ({0})
FoldoutReferencesTooltip,この項目に指定されているファイル／フォルダが\nエクスポート対象の他Assetに参照されている場合、該当するファイルは自動的にエクスポート対象に追加されます。
FoldoutExcludeObjects,除外するオブジェクト ({0})
FoldoutExcludes,除外する場所 ({0})
FoldoutExcludesPreview,除外する場所のプレビュー
FoldoutVersion,バージョン設定

FoldoutBatchExportEnabled,一括エクスポート（有効）
FoldoutBatchExportDisabled,一括エクスポート
BatchExportMode,モード
BatchExportRegex,正規表現
BatchExportNoTagError,{0}\n\n一括エクスポートの使用時、unitypackage名には {1} を含める必要があります。
BatchVariableTooltip,注：Batch Exportの文字列と置き換わります。

DateVariableTooltip,注：現在の日時と置き換わります。(ex: {0})

Version,バージョン
VersionSource,バージョン参照元
DiffTooltip,一部のオブジェクトの値が異なっています。
ExportLogNotFound,[{0}]は存在しません。
ExportLogFailed,{0}\nエクスポートは中断されました。
ExportLogAllFileExists,ファイル／フォルダの存在チェックが完了しました。
ExportLogSuccess,[{0}]のエクスポートに成功しました。\n
IncompatibleVersion,[{0}]は現在のバージョンのMizoresPackageExporterとの互換性がありません。\n強制的に開いた場合、一部項目の設定内容が変化したり消えたりする可能性があります。
ButtonCheck,エクスポートするファイルの有無を確認
PackageName,unitypackage名

ExportListEmpty,エクスポートできるunitypackageがありません。\n一括エクスポートの設定を確認してください。

FileListTreeView,階層表示
