Undo,PackagePrefs
Yes,Yes
No,No
Cancel,Cancel
CopyText,Copy
PasteText,Paste

FoldoutObjects,Objects to export ({0})
FoldoutObjectsTooltip,Objects to export
FoldoutReferences,References ({0})
FoldoutReferencesTooltip,If the files/folders in this list is referenced by another Asset to be exported\. corresponding files are automatically added to the export target.
FoldoutExcludes,Excludes Path ({0})
FoldoutExcludesPreview,Excludes Path Preview
FoldoutExcludeObjects,Exclude Objects ({0})
FoldoutDynamicPath,Dynamic Export Path ({0})
FoldoutDynamicPathPreview,Dynamic Export Path Preview
FoldoutVariables,Variables ({0})
Variables,Variables

FoldoutBatchExportEnabled,Export Settings (Batch Export Enabled)
FoldoutBatchExportDisabled,Export Settings
BatchExportMode,Mode
BatchExportFolderMode,Target
BatchExportFolder,Folder
BatchExportListFile,File
BatchExportRegex,Regex
BatchExportRegexError,{0}\nRegex Error:\n{1}
BatchExportNoTagError,{0}\n\nwhen use batch export\.\nunitypackage name must contain {1} or {2}
BatchVariableTooltip,[Note] Replaced by Batch Export string.
FBatchVariableTooltip,[Note] Replaced by formatted batch string. If %batch% is empty\. it will be empty.
BatchFormat,Batch Format
BatchExportListLabel,Batch List

SettingOverrideVersion,Version Override
SettingOverrideVersionFormat,Version Format Override
SettingOverrideBatchFormat,Batch Override
SettingOverridePackageName,Package Name Override

DateVariableTooltip,[Note] Replaced by formatted current date. (ex: {0})
DateFormatError,Invalid date format: {0}

ButtonAddNameOverride,Override Settings
ButtonRemoveNameOverride,Remove Override
ButtonCleanNameOverride,Clean Unused Overrides
LogCleanNameOverride,Removed {0} overrides.

Version,Version
VersionSource,Source
VersionFormat,Version Format
PackageName,unitypackage name
ButtonCheck,Check
ButtonExportAll,All
ButtonExportNone,None
LabelExportPackage,Export to unitypackage
ButtonExportPackage,Export to unitypackage
ButtonExportPackages,Export to unitypackages
ButtonExportSinglePackage,Export
ButtonOpen,Open
DiffLabel,?
DiffTooltip,Some values are different.
ButtonFolder,Browse Folder
ButtonFile,Browse File
ExportLogNotFound,[{0}] is not exists.
ExportLogFailedTargetEmpty,{0}\nThere are no files to export.
ExportLogFailed,{0}\nExport has been cancelled.
ExportLogAllFileExists,All files or directories exist.\n
ExportLogSuccess,[{0}] export completed.\n
ExcludesWereEmpty,No files were excluded.
CopyTarget,Copy {0}
CopyTargetWithValue,Copy [{1}] ({0})
CopyTargetNoValue,Copy
PasteTarget,Paste {0}
PasteTargetWithValue,Paste [{1}] ({0})
PasteTargetNoValue,Paste
IncompatibleVersion,[{0}] is incompatible with current version of MizoresPackageExporter.\nIf you open it forcibly\. some setting values may change or disappear.
IncompatibleVersionForceOpen,Force open
ConvertVersionRequired,This asset is created by a older version of MizoresPackageExporter.\nDo you want to convert it to the current version?
ConvertVersionButton,Convert
ConvertVersionConfirm,Convert MizoresPackageExporter version.\n\nThe original file will be saved with a different name.\n\nDo you want to convert it?

FileListWindowTitle,Export unitypackages
FileListViewFullPath,FullPath
FileListTreeView,TreeView
FileListViewReferencedFiles,View Referenced Files
FileListViewExcludeFiles,View Excludes Files
FileListClose,Close

FileListNotFoundPathPrefix,[ ! not found ! ]
FileListExcludesPathPrefix,[Excludes]
FileListReferencesPathPrefix,[Referenced]

FileListCategoryExport,Actual Export Target Files
FileListCategoryExportEmpty,(Empty) Actual Export Target Files
FileListCategoryNotFound,Not Found Files
FileListCategoryExcludes,Exclude Files
FileListCategoryReferences,Referenced Files
FileListCategoryAdditionalCopy,Additional Copy Files
FileListTooltipReferencedBy,Referenced by

ExportListEmpty,Export List is empty.\nPlease check the Batch Export settings.
ExportDuplicatePathError,Duplicate export paths detected:\n{0}\nPackages with the same output path cannot be exported simultaneously.

ConvertToRelativePath,Convert to relative path
ConvertToAbsolutePath,Convert to absolute path
ConvertToGUID,Convert to GUID
ConvertAllPathsToRelative,Convert all paths to relative
ConvertAllPathsToAbsolute,Convert all paths to absolute
ConvertAllPathsToGUID,Convert all paths to GUID
DefaultPathType,Default Path Type

SearchPathType_Disabled,Disabled
SearchPathType_Exact,Exact
SearchPathType_Partial,Partial
SearchPathType_StartsWith,StartsWith
SearchPathType_EndsWith,EndsWith
SearchPathType_Regex,Regex
PreserveCase,Preserve Case
RegexParseError,Regex parse error.
RegexOutputToLog,Output to Console

AdvancedMode,Advanced

FoldoutPostExport,Post Export Settings ({0})
PostExportOrganizeInFolder,Organize in Folder
PostExportOrganizeInFolderTooltip,Move the package to a folder with the same name after export
PostExportOrganizeFolderName,Folder Name
PostExportOrganizeFolderNameTooltip,Name of the folder to organize into (empty = use package name). Supports variable substitution.
PostExportAdditionalCopyPaths,Additional Copy Paths
PostExportSourcePath,Source
PostExportDestName,Destination Name
PostExportDestNameTooltip,Output name (empty = use original name). Supports variable substitution.
PostExportCreateZip,Create ZIP
PostExportCreateZipTooltip,Create a ZIP archive from the export folder
PostExportCompressionLevel,Compression Level
PostExportZipFolderName,ZIP Folder Name
PostExportZipFolderNameTooltip,Folder name for ZIP output (empty = same location as package)
PostExportZipNotSupported,ZIP creation is not supported on this version of Unity (requires 2022.1 or newer).
PostExportCreatingZip,Creating ZIP: {0}

EditOnlySingle,{0} can only be edited in single selection mode.

SearchReference,Search Reference
SearchReferenceTooltip,If this Asset is reference an Asset in "References", the corresponding Asset is automatically added to the export target.

ErrorEmptyName,The file name for the currently selected MizoresPackageExporter is not yet set.\nPlease set the file name and select it again.

ProgressBarInfo_CreateFileList,Creating File List\n{0} - {1}
ProgressBarInfo_Export,Export\n{0} - {1}

EditorLocked,Waiting for processing.
